Game_ID,Words,Color,Category,Options,Prompt,Correct_Answer,Response,Probabilities,Correct
1,"['HAIL', 'RAIN', 'SLEET', 'SNOW']",yellow,WET WEATHER,"['LEVEL', 'RETURN', 'OPTION', 'NETS', 'TAB', 'KAYAK', 'HEAT', 'JAZZ', 'MOM', 'RACECAR', 'SHIFT', 'BUCKS']","['HAIL', 'RAIN', 'SLEET']",SNOW,HEAT,0.657347873092844,False
1,"['BUCKS', 'HEAT', 'JAZZ', 'NETS']",green,NBA TEAMS,"['HAIL', 'LEVEL', 'RETURN', 'OPTION', 'SNOW', 'TAB', 'KAYAK', 'SLEET', 'MOM', 'RACECAR', 'SHIFT', 'RAIN']","['BUCKS', 'HEAT', 'JAZZ']",NETS,HEAT,0.8106626619563562,False
1,"['OPTION', 'RETURN', 'SHIFT', 'TAB']",blue,KEYBOARD KEYS,"['HAIL', 'LEVEL', 'SNOW', 'NETS', 'KAYAK', 'HEAT', 'JAZZ', 'SLEET', 'MOM', 'RACECAR', 'BUCKS', 'RAIN']","['OPTION', 'RETURN', 'SHIFT']",TAB,RETURN,0.7258336852709052,False
1,"['KAYAK', 'LEVEL', 'MOM', 'RACECAR']",purple,PALINDROMES,"['HAIL', 'RETURN', 'OPTION', 'SNOW', 'NETS', 'TAB', 'HEAT', 'JAZZ', 'SLEET', 'SHIFT', 'BUCKS', 'RAIN']","['KAYAK', 'LEVEL', 'MOM']",RACECAR,LEVEL,0.8600176256761988,False
2,"['BOOT', 'LOAFER', 'PUMP', 'SNEAKER']",yellow,FOOTWEAR,"['MILE', 'LEAGUE', 'TIME', 'ESSENCE', 'US', 'PEOPLE', 'SEA', 'YARD', 'FOOT', 'QUEUE', 'ARE', 'WHY']","['BOOT', 'LOAFER', 'PUMP']",SNEAKER,FOOT,0.9763524862327879,False
2,"['FOOT', 'LEAGUE', 'MILE', 'YARD']",green,UNITS OF LENGTH,"['LOAFER', 'TIME', 'BOOT', 'ESSENCE', 'SNEAKER', 'US', 'PEOPLE', 'PUMP', 'SEA', 'QUEUE', 'ARE', 'WHY']","['FOOT', 'LEAGUE', 'MILE']",YARD,BOOT,0.983633483213025,False
2,"['ESSENCE', 'PEOPLE', 'TIME', 'US']",blue,MAGAZINES,"['MILE', 'LOAFER', 'LEAGUE', 'BOOT', 'SNEAKER', 'PUMP', 'SEA', 'YARD', 'FOOT', 'QUEUE', 'ARE', 'WHY']","['ESSENCE', 'PEOPLE', 'TIME']",US,FOOT,0.6673315404917061,False
2,"['ARE', 'QUEUE', 'SEA', 'WHY']",purple,LETTER HOMOPHONES,"['MILE', 'LOAFER', 'LEAGUE', 'TIME', 'BOOT', 'ESSENCE', 'SNEAKER', 'US', 'PEOPLE', 'PUMP', 'YARD', 'FOOT']","['ARE', 'QUEUE', 'SEA']",WHY,LEAGUE,0.8923506090970474,False
3,"['CHEEK', 'EYE', 'MOUTH', 'NOSE']",yellow,FACIAL FEATURES,"['POM', 'TENOR', 'WOLF', 'PEKE', 'SCARF', 'KING', 'PIT', 'GOBBLE', 'LAB', 'AMIGO', 'STOOGE', 'CHOW']","['CHEEK', 'EYE', 'MOUTH']",NOSE,CHOW,0.3872314334010335,False
3,"['CHOW', 'GOBBLE', 'SCARF', 'WOLF']",green,SYNONYMS FOR EAT,"['POM', 'TENOR', 'PEKE', 'KING', 'PIT', 'EYE', 'LAB', 'CHEEK', 'NOSE', 'AMIGO', 'STOOGE', 'MOUTH']","['CHOW', 'GOBBLE', 'SCARF']",WOLF,MOUTH,0.9893504998048026,False
3,"['LAB', 'PEKE', 'PIT', 'POM']",blue,"DOG BREEDS,  INFORMALLY","['TENOR', 'WOLF', 'SCARF', 'KING', 'GOBBLE', 'EYE', 'CHEEK', 'NOSE', 'AMIGO', 'STOOGE', 'MOUTH', 'CHOW']","['LAB', 'PEKE', 'PIT']",POM,CHOW,0.9076398859715815,False
3,"['AMIGO', 'KING', 'STOOGE', 'TENOR']",purple,MEMBERS OF A TRIO,"['POM', 'WOLF', 'PEKE', 'SCARF', 'PIT', 'GOBBLE', 'EYE', 'LAB', 'CHEEK', 'NOSE', 'MOUTH', 'CHOW']","['AMIGO', 'KING', 'STOOGE']",TENOR,KING,0.5340092918562724,False
4,"['ADIDAS', 'NIKE', 'PUMA', 'REEBOK']",yellow,SNEAKER BRANDS,"['DUST', 'SPIDER', 'CABARET', 'SWEEP', 'CHICAGO', 'MOP', 'CAROUSEL', 'VACUUM', 'CATS', 'SUPER', 'IRON', 'BAT']","['ADIDAS', 'NIKE', 'PUMA']",REEBOK,SUPER,0.6723262476444889,False
4,"['CABARET', 'CAROUSEL', 'CATS', 'CHICAGO']",green,MUSICALS BEGINNING WITH “C”,"['REEBOK', 'DUST', 'SPIDER', 'ADIDAS', 'SWEEP', 'PUMA', 'MOP', 'VACUUM', 'SUPER', 'NIKE', 'IRON', 'BAT']","['CABARET', 'CAROUSEL', 'CATS']",CHICAGO,MOP,0.08693396520024599,False
4,"['DUST', 'MOP', 'SWEEP', 'VACUUM']",blue,CLEANING VERBS,"['REEBOK', 'SPIDER', 'ADIDAS', 'CABARET', 'PUMA', 'CHICAGO', 'CAROUSEL', 'CATS', 'SUPER', 'NIKE', 'IRON', 'BAT']","['DUST', 'MOP', 'SWEEP']",VACUUM,IRON,0.7248298459970651,False
4,"['BAT', 'IRON', 'SPIDER', 'SUPER']",purple,___ MAN SUPERHEROES,"['REEBOK', 'DUST', 'ADIDAS', 'CABARET', 'SWEEP', 'PUMA', 'CHICAGO', 'MOP', 'CAROUSEL', 'VACUUM', 'CATS', 'NIKE']","['BAT', 'IRON', 'SPIDER']",SUPER,CATS,0.5471560753038269,False
5,"['HULU', 'NETFLIX', 'PEACOCK', 'PRIME']",yellow,STREAMING SERVICES,"['LOW', 'KETCHUP', 'RELISH', 'GREEN', 'GLUM', 'SCARLET', 'DOWN', 'MUSTARD', 'PLUM', 'MAYO', 'BLUE', 'TARTAR']","['HULU', 'NETFLIX', 'PEACOCK']",PRIME,MAYO,0.19842745695795536,False
5,"['KETCHUP', 'MAYO', 'RELISH', 'TARTAR']",green,CONDIMENTS,"['HULU', 'LOW', 'GREEN', 'GLUM', 'SCARLET', 'PRIME', 'DOWN', 'MUSTARD', 'PLUM', 'PEACOCK', 'BLUE', 'NETFLIX']","['KETCHUP', 'MAYO', 'RELISH']",TARTAR,MUSTARD,0.9988104535089597,False
5,"['BLUE', 'DOWN', 'GLUM', 'LOW']",blue,SYNONYMS FOR SAD,"['HULU', 'KETCHUP', 'RELISH', 'GREEN', 'SCARLET', 'PRIME', 'MUSTARD', 'PLUM', 'MAYO', 'PEACOCK', 'NETFLIX', 'TARTAR']","['BLUE', 'DOWN', 'GLUM']",LOW,PLUM,0.6317183104457907,False
5,"['GREEN', 'MUSTARD', 'PLUM', 'SCARLET']",purple,CLUE CHARACTERS,"['HULU', 'LOW', 'KETCHUP', 'RELISH', 'GLUM', 'PRIME', 'DOWN', 'MAYO', 'PEACOCK', 'BLUE', 'NETFLIX', 'TARTAR']","['GREEN', 'MUSTARD', 'PLUM']",SCARLET,BLUE,0.5792812152122895,False
6,"['BOARDWALK', 'CHANCE', 'GO', 'JAIL']",yellow,MONOPOLY SQUARES,"['SISTER', 'WONDER', 'SEA', 'ROYAL', 'ICE CUBE', 'SIN', 'BABY', 'MIDNIGHT', 'POWDER', 'COMMON', 'Q-TIP', 'FUTURE']","['BOARDWALK', 'CHANCE', 'GO']",JAIL,SEA,0.857002407765763,False
6,"['BABY', 'MIDNIGHT', 'POWDER', 'ROYAL']",green,SHADES OF BLUE,"['SISTER', 'WONDER', 'SEA', 'CHANCE', 'ICE CUBE', 'SIN', 'GO', 'BOARDWALK', 'COMMON', 'Q-TIP', 'JAIL', 'FUTURE']","['BABY', 'MIDNIGHT', 'POWDER']",ROYAL,WONDER,0.3425320918487526,False
6,"['COMMON', 'FUTURE', 'ICE CUBE', 'Q-TIP']",blue,RAPPERS,"['SISTER', 'WONDER', 'SEA', 'ROYAL', 'CHANCE', 'SIN', 'BABY', 'MIDNIGHT', 'GO', 'POWDER', 'BOARDWALK', 'JAIL']","['COMMON', 'FUTURE', 'ICE CUBE']",Q-TIP,CHANCE,0.5228237575951902,False
6,"['SEA', 'SIN', 'SISTER', 'WONDER']",purple,MEMBERS OF A SEPTET,"['ROYAL', 'CHANCE', 'ICE CUBE', 'BABY', 'MIDNIGHT', 'GO', 'POWDER', 'BOARDWALK', 'COMMON', 'Q-TIP', 'JAIL', 'FUTURE']","['SEA', 'SIN', 'SISTER']",WONDER,BOARDWALK,0.2976672559269367,False
7,"['ANKLE', 'KNEE', 'SHIN', 'THIGH']",yellow,LEG PARTS,"['SILVER', 'JOHN', 'THRONE', 'JELLY', 'CRAY', 'CUB', 'STAR', 'CAN', 'JOEY', 'CALF', 'HEAD', 'KID']","['ANKLE', 'KNEE', 'SHIN']",THIGH,CALF,0.9903170791479259,False
7,"['CALF', 'CUB', 'JOEY', 'KID']",green,BABY ANIMALS,"['SILVER', 'JOHN', 'THRONE', 'JELLY', 'CRAY', 'STAR', 'CAN', 'HEAD', 'KNEE', 'SHIN', 'ANKLE', 'THIGH']","['CALF', 'CUB', 'JOEY']",KID,SHIN,0.11439428228866091,False
7,"['CAN', 'HEAD', 'JOHN', 'THRONE']",blue,SLANG FOR TOILET,"['SILVER', 'JELLY', 'CRAY', 'CUB', 'STAR', 'JOEY', 'CALF', 'KID', 'KNEE', 'SHIN', 'ANKLE', 'THIGH']","['CAN', 'HEAD', 'JOHN']",THRONE,CALF,0.32427482799566365,False
7,"['CRAY', 'JELLY', 'SILVER', 'STAR']",purple,___ FISH THAT AREN’T FISH,"['JOHN', 'THRONE', 'CUB', 'CAN', 'JOEY', 'CALF', 'HEAD', 'KID', 'KNEE', 'SHIN', 'ANKLE', 'THIGH']","['CRAY', 'JELLY', 'SILVER']",STAR,SHIN,0.364089594724685,False
8,"['BACKGAMMON', 'CHECKERS', 'CHESS', 'GO']",yellow,BOARD GAMES,"['RUBY', 'FLORIDA', 'FIRE TRUCK', 'QUEEN', 'FULL', 'LOCKSMITH', 'TWIN', 'STOP SIGN', 'KING', 'PIANO', 'CRYPTOGRAPHY', 'CHERRY']","['BACKGAMMON', 'CHECKERS', 'CHESS']",GO,CHESS,0.37648030441641833,False
8,"['FULL', 'KING', 'QUEEN', 'TWIN']",green,MATTRESS SIZES,"['BACKGAMMON', 'CHESS', 'RUBY', 'FLORIDA', 'FIRE TRUCK', 'GO', 'LOCKSMITH', 'CHECKERS', 'STOP SIGN', 'PIANO', 'CRYPTOGRAPHY', 'CHERRY']","['FULL', 'KING', 'QUEEN']",TWIN,CHECKERS,0.7244501311254523,False
8,"['CHERRY', 'FIRE TRUCK', 'RUBY', 'STOP SIGN']",blue,THINGS THAT ARE RED,"['BACKGAMMON', 'CHESS', 'FLORIDA', 'GO', 'QUEEN', 'FULL', 'LOCKSMITH', 'TWIN', 'CHECKERS', 'KING', 'PIANO', 'CRYPTOGRAPHY']","['CHERRY', 'FIRE TRUCK', 'RUBY']",STOP SIGN,RUBY,0.9941319636191575,False
